date,station,sst
2026-09-10,Gaza_City,31.04
2026-09-10,Hadera_IL,30.77
2026-09-10,Haifa_IL,30.15
2026-09-10,Nahariya_IL,30.1
2026-09-10,Open_sea_ref,29.18
2026-09-10,Port_Said_EG,29.73
2026-09-10,Rafah_Gaza,30.78
2026-09-10,Rosetta_mouth,28.53
2026-09-10,Tel_Aviv_IL,30.92
2026-09-11,Ashdod_IL,30.8
2026-09-11,Ashkelon_IL,30.64
2026-09-11,Bardawil_off,30.34
2026-09-11,Damietta_mouth,29.59
2026-09-11,El_Arish_EG,29.96
2026-09-11,Gaza_City,30.4
2026-09-11,Hadera_IL,30.36
2026-09-11,Haifa_IL,29.68
2026-09-11,Nahariya_IL,29.82
2026-09-11,Open_sea_ref,29.37
2026-09-11,Port_Said_EG,30.02
2026-09-11,Rafah_Gaza,30.18
2026-09-11,Rosetta_mouth,28.62
2026-09-11,Tel_Aviv_IL,30.24
2026-09-12,Ashdod_IL,30.22
2026-09-12,Ashkelon_IL,30.37
2026-09-12,Bardawil_off,30.22
2026-09-12,Damietta_mouth,29.07
2026-09-12,El_Arish_EG,29.71
2026-09-12,Gaza_City,29.72
2026-09-12,Hadera_IL,30.21
2026-09-12,Haifa_IL,29.35
2026-09-12,Nahariya_IL,29.7
2026-09-12,Open_sea_ref,28.84
2026-09-12,Port_Said_EG,30.1
2026-09-12,Rafah_Gaza,30.08
2026-09-12,Rosetta_mouth,28.8
2026-09-12,Tel_Aviv_IL,30.15
